{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:35:52.474731'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:51.439815'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:51.530528'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:51.534608'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:51.741452'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:51.758491'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:51.822730'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.097308'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.184129'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.258879'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.351961'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.542377'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.705334'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.709846'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:52.793898'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.027682'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.146151'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.299034'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.314562'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.446778'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.571895'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.572906'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.900121'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:53.926326'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.114349'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.148863'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.151107'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.281219'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.455304'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.622133'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.645265'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.805196'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.844690'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.934739'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:54.944005'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.181032'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.194018'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.198589'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.351856'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.354653'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.522575'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.546889'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.726122'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.832564'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:55.838984'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.183175'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.266373'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.396592'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.501734'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.512091'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.613093'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.682223'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.739081'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.843778'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:56.916224'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.017797'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.173145'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.238645'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.375891'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.391615'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.467205'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.574538'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.576634'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.756771'}
{'type': 'Port Scan / DDoS', 'ip': '104.18.32.47', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.810207'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:57.924827'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.125289'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.353462'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.510400'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.671395'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.778803'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.800616'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.821372'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:58.895311'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.044363'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.096087'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.111973'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.244038'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.316002'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.319072'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.430038'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.478617'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.542029'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.555911'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.645035'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.739356'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:39:59.864487'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:00.155684'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:00.194936'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:00.387069'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:00.634066'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:00.729224'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:00.998782'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.025017'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.213941'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.301093'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.386851'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.497044'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.698893'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.759558'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.876416'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:01.883120'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.058358'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.078422'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.160023'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.399101'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.406296'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.625358'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.702829'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.780806'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.853824'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.861179'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:02.992694'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.059956'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.070080'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.171943'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.410516'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.414373'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.547320'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.552835'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.736004'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:03.806830'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:04.025448'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:04.124962'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:04.283341'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:04.604069'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:04.646417'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:40:04.971230'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:40:04.975751'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:17.576824'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:17.789834'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:17.951530'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:17.961254'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:17.974311'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:17.988785'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:17.997071'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.018813'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.029207'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.043765'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.056156'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.070282'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.087384'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.108742'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.113359'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.134107'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.139309'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.166391'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.168502'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.199479'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.213824'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.241953'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.271355'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.321469'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.378809'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.387947'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.496298'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.557650'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.601615'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.614184'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.684828'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.703399'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.713455'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.826768'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.828832'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.849745'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.906082'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.921545'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.938392'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.976979'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:18.983798'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.100879'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.104518'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.159108'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.161894'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.203768'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.206040'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.285708'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.290753'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.308413'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.328041'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.348247'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.377062'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.379673'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.436799'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.450186'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.459662'}
{'type': 'Port Scan / DDoS', 'ip': '140.82.114.21', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.463590'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.658907'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.668783'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.752612'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.767131'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.773580'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.795765'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.801522'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.833028'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.839303'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.855823'}
{'type': 'Port Scan / DDoS', 'ip': '140.82.114.21', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.866315'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.872169'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.893727'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.930422'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.939855'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.954118'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:19.989156'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.026303'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.068353'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.076614'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.155895'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.159829'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.219566'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.223061'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:45:20.263352'}
